,mfcc_mean,chroma_mean,spectral_contrast_mean,mfcc,chroma,spectral_contrast,tempo,label
0,"[-32.619434    60.598656    -8.180313    32.013237     9.025841
  17.318113     9.254017    14.218012     5.504168    12.034365
   3.4554157    7.7076592   -0.9679468    2.2599905    1.7228047
   2.018616    -0.49350643   5.4770703   -0.5135765    2.637019  ]","[0.48237413 0.45924917 0.44425854 0.5240457  0.5564166  0.67312086
 0.5406004  0.46811557 0.49752    0.502602   0.507338   0.44443393]","[20.04147361 12.7380046  16.80765501 18.78573272 19.23929333 20.32677898
 47.63891544]","[[-462.13718 -462.13718 -462.13718 ... -462.13718 -462.13718 -462.13718]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 ...
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]]","[[0.8288153  0.9201875  0.83470625 ... 0.91454315 0.8803492  0.84234285]
 [0.80780196 1.         1.         ... 0.9214121  1.         0.98432887]
 [0.81267405 0.93307537 0.9597285  ... 1.         0.9314897  1.        ]
 ...
 [0.46398127 0.43587744 0.34362605 ... 0.38832602 0.4338966  0.47825333]
 [0.48763496 0.44787353 0.4241074  ... 0.44588956 0.44525224 0.5862682 ]
 [0.60821664 0.6355507  0.62949103 ... 0.69915825 0.6536084  0.7098873 ]]","[[15.85928961 25.02011272 27.54972855 ... 28.47158628 24.19355968
  18.42641234]
 [ 7.4624451  13.08561006 12.95696569 ...  6.89261442  9.13217281
   4.95791663]
 [10.6782955  16.38535285 15.85876973 ... 13.05539154 12.12204087
  12.78164407]
 ...
 [14.54964755 11.94932484 14.24598854 ... 14.67968015 11.17119262
  14.57984732]
 [13.74436734 15.6826351  14.813587   ... 11.95542657 14.44755216
  15.0704734 ]
 [16.94791286 20.77833792 35.93418042 ... 35.53747215 22.47946219
  17.40303249]]",129.19921875,1
1,"[-1131.3708     0.         0.         0.         0.         0.
     0.         0.         0.         0.         0.         0.
     0.         0.         0.         0.         0.         0.
     0.         0.    ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0.],"[[-1131.3708 -1131.3708]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]
 [    0.         0.    ]]","[[0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]]","[[0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]]",117.45383522727273,1
2,"[-8.0043591e+02 -5.2576694e+00  1.7454554e+01 -1.7721691e+01
 -2.7951221e+00  1.9283655e+01 -1.5190920e+01  1.1750493e+00
  2.5624886e+00  6.5329027e+00 -1.4085847e+01  9.4235144e+00
  8.5036850e-01 -3.5852957e+00 -2.4464386e+00  7.4336390e+00
 -4.3385682e+00 -3.1793628e+00  5.4984388e+00 -7.2829306e-01]","[0.4881411  0.52794576 0.4081643  0.35740665 0.32782847 0.37479076
 0.4122435  0.29953623 0.7180479  1.         0.76618415 0.6659158 ]","[7.40851397e-03 1.89433117e-02 8.00527569e-02 2.74526036e-01
 9.47699248e+00 6.37400585e+00 2.45066796e+01]","[[-8.0043591e+02]
 [-5.2576694e+00]
 [ 1.7454554e+01]
 [-1.7721691e+01]
 [-2.7951221e+00]
 [ 1.9283655e+01]
 [-1.5190920e+01]
 [ 1.1750493e+00]
 [ 2.5624886e+00]
 [ 6.5329027e+00]
 [-1.4085847e+01]
 [ 9.4235144e+00]
 [ 8.5036850e-01]
 [-3.5852957e+00]
 [-2.4464386e+00]
 [ 7.4336390e+00]
 [-4.3385682e+00]
 [-3.1793628e+00]
 [ 5.4984388e+00]
 [-7.2829306e-01]]","[[0.4881411 ]
 [0.52794576]
 [0.4081643 ]
 [0.35740665]
 [0.32782847]
 [0.37479076]
 [0.4122435 ]
 [0.29953623]
 [0.7180479 ]
 [1.        ]
 [0.76618415]
 [0.6659158 ]]","[[7.40851397e-03]
 [1.89433117e-02]
 [8.00527569e-02]
 [2.74526036e-01]
 [9.47699248e+00]
 [6.37400585e+00]
 [2.45066796e+01]]",117.45383522727273,1
3,"[ -3.7192287  79.258995  -13.804544    8.829502  -10.387878   10.3736
  -3.3998997   4.200374   -1.419804    0.824267   -2.8805554   3.1303458
  -2.1139512  -0.8778333  -2.8413525   0.5700291  -4.087157    1.0284429
  -2.1124213  -2.0099967]","[0.5508295  0.5268997  0.5820761  0.43116522 0.36187884 0.31000125
 0.42517743 0.51537323 0.3972735  0.39729217 0.40396562 0.53943264]","[22.83729975 13.56111507 15.80496673 16.63008836 19.21658215 19.81796331
 46.89652773]","[[-479.39755 -479.39755 -479.39755 ... -479.39755 -479.39755 -479.39755]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 ...
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]]","[[0.74051285 0.9230619  0.87601334 ... 0.8758395  0.9290741  0.91600955]
 [0.702514   0.90557295 1.         ... 1.         0.96846163 0.84781116]
 [0.7252656  0.85728866 0.8907577  ... 0.89079976 1.         1.        ]
 ...
 [0.3892245  0.3728663  0.34318736 ... 0.34293073 0.3650981  0.38790116]
 [0.4445709  0.45045277 0.47272164 ... 0.47268465 0.47124228 0.55131996]
 [0.60317695 0.6747108  0.6884661  ... 0.68848884 0.7314975  0.77070767]]","[[15.85928961 25.02011272 27.54972855 ... 28.03815877 18.84961891
  13.90207617]
 [ 7.4624451  13.08561006 12.95696569 ... 14.47999663  9.10103119
   7.27752872]
 [10.6782955  16.38535285 15.85876973 ... 16.21792652 14.79084696
  14.53673471]
 ...
 [14.54964755 11.94932484 14.24598854 ... 15.01918423 16.20770144
  11.25884959]
 [13.74436734 15.6826351  14.813587   ... 14.47346051 13.64315165
  12.60621955]
 [16.94791286 20.77833792 37.08562027 ... 37.08553363 21.38771097
  17.25114042]]",117.45383522727273,1
4,"[-29.38718   113.43048   -22.907265   25.17928     9.707451   10.458444
  -1.89791     9.0924      5.211806    6.242844   -2.5166454  -3.2537417
  -3.0831144   0.7027363   0.6584794   4.1414576  -3.3980908   2.1784184
  -2.3618865  -1.2978992]","[0.36521044 0.38719937 0.35978532 0.31846043 0.27387655 0.35447675
 0.28273132 0.35759166 0.489499   0.46336836 0.645197   0.36104724]","[21.84351583 17.21957364 18.34545978 19.33006664 20.75605627 22.68144877
 47.29492584]","[[-484.02875 -484.02875 -484.02875 ... -484.02875 -484.02875 -484.02875]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 ...
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]]","[[0.77721155 0.9263539  0.86109    ... 0.8609888  0.90370244 0.91859573]
 [0.7407207  0.94543463 1.         ... 1.         0.9487316  0.8195952 ]
 [0.752457   0.88778913 0.92165655 ... 0.92176783 1.         1.        ]
 ...
 [0.42047897 0.39802274 0.34190226 ... 0.34159437 0.35463056 0.37551865]
 [0.46142414 0.44846812 0.4507848  ... 0.45075583 0.43390235 0.51987225]
 [0.5957584  0.65558887 0.6633366  ... 0.66344804 0.68575376 0.72158694]]","[[15.85928961 25.02011272 27.54972855 ... 28.03816789 18.84961658
  13.90207526]
 [ 7.4624451  13.08561006 12.95696569 ... 14.48000806  9.10102974
   7.27753399]
 [10.6782955  16.38535285 15.85876973 ... 16.21790337 14.79087366
  14.53671527]
 ...
 [14.54964755 11.94932484 14.24598854 ... 15.01921337 16.20771391
  11.258845  ]
 [13.74436734 15.6826351  14.813587   ... 14.47345364 13.64315641
  12.60621874]
 [16.94791286 20.77833792 36.22083584 ... 36.2207492  21.38770722
  17.25113237]]",129.19921875,1
5,"[-1.7463497e+01  5.5094978e+01 -8.7913313e+00  1.1327294e+01
  3.5779281e+00  1.3222023e+01 -8.6249031e-02  7.9910421e+00
  2.7356508e+00  1.0360679e+01  3.8234940e+00  4.9701519e+00
  1.3388342e+00  4.7640953e+00  1.9865072e+00  5.9909120e+00
  1.3019710e-02  6.9103937e+00  8.4376824e-01  6.9001198e+00]","[0.36352623 0.36717737 0.43500724 0.41303775 0.5774913  0.4699721
 0.51248926 0.5033931  0.44905955 0.5001523  0.41243625 0.52071196]","[24.28832632 16.63572172 18.41640926 19.64212009 20.7875293  20.6394947
 48.30710969]","[[-475.78247   -475.78247   -475.78247   ... -474.2645    -475.78247
  -475.78247  ]
 [   0.           0.           0.        ...    2.1447725    0.
     0.       ]
 [   0.           0.           0.        ...    2.1390076    0.
     0.       ]
 ...
 [   0.           0.           0.        ...    1.6280525    0.
     0.       ]
 [   0.           0.           0.        ...    1.5701346    0.
     0.       ]
 [   0.           0.           0.        ...    1.51001      0.
     0.       ]]","[[0.79212284 0.92841554 0.85435796 ... 1.         0.89699554 0.857524  ]
 [0.75858325 0.9633019  1.         ... 0.92112905 1.         1.        ]
 [0.76805073 0.90245456 0.93157923 ... 0.874546   0.8968321  0.9270502 ]
 ...
 [0.43260515 0.40890983 0.3419293  ... 0.79364043 0.4606029  0.45542872]
 [0.46958816 0.4498341  0.44297028 ... 0.8279635  0.539765   0.58190876]
 [0.5979317  0.65167665 0.65394396 ... 0.9561349  0.6866613  0.6512402 ]]","[[15.85928961 25.02011272 27.54972855 ... 14.6141177  15.98839676
  19.57352965]
 [ 7.4624451  13.08561006 12.95696569 ... 19.92554404  9.61950252
   5.44569737]
 [10.6782955  16.38535285 15.85876973 ...  9.94027054 12.90031623
  12.14679631]
 ...
 [14.54964755 11.94932484 14.24598854 ... 18.1715442  11.22181816
  13.16498708]
 [13.74436734 15.6826351  14.813587   ... 20.23666473 12.70713308
  14.11700468]
 [16.94791286 20.77833792 35.3159417  ... 34.98156958 23.48516307
  18.08159396]]",135.99917763157896,1
6,"[-4.0606564e+01  1.0338380e+02 -1.0832005e+01  2.4985634e+01
  9.1443348e+00  3.6515164e+00  2.1817133e+00  6.2578616e+00
 -5.4221902e+00  5.1123075e+00  2.1620224e+00  3.8037860e+00
  4.6963525e+00 -8.7094277e-02 -1.5579631e+00  5.3922243e+00
 -6.8180823e+00  1.2278306e-01 -6.3931596e-01 -3.7520010e+00]","[0.38622534 0.33440492 0.51616156 0.37138677 0.45194831 0.30222535
 0.33554187 0.48015782 0.32285783 0.3475096  0.27227378 0.38374174]","[24.66953249 15.21190585 19.17956495 18.22996244 20.5835951  24.8928349
 46.47449429]","[[-479.5246    -242.8444    -131.0505    ... -479.5246    -479.5246
  -479.5246   ]
 [   0.         133.49712    136.52283   ...    0.           0.
     0.       ]
 [   0.         -35.07319    -48.439644  ...    0.           0.
     0.       ]
 ...
 [   0.         -11.710548   -12.145512  ...    0.           0.
     0.       ]
 [   0.          -3.3714335   -2.7913327 ...    0.           0.
     0.       ]
 [   0.          -6.169029    -4.3072824 ...    0.           0.
     0.       ]]","[[0.9885519  0.6254545  0.21481927 ... 0.8909993  0.89537966 0.90561336]
 [0.8662181  0.8195743  0.60651517 ... 0.9125641  0.9220564  1.        ]
 [1.         1.         1.         ... 1.         0.9544918  0.92980593]
 ...
 [0.57059634 0.46000773 0.23303895 ... 0.34227675 0.3826208  0.4210152 ]
 [0.6930572  0.4757925  0.13346608 ... 0.42270964 0.44971627 0.4834298 ]
 [0.7626045  0.4647051  0.11436486 ... 0.6663153  0.72047526 0.6774969 ]]","[[16.44059786 19.69471186 22.37565168 ... 31.59360207 28.3766635
  28.76707231]
 [12.28405098 10.66411944 20.25012377 ... 10.07378391  9.4925999
   9.47466989]
 [12.76842673  6.23956318 12.23466263 ... 15.83958914 19.37669415
  10.57665553]
 ...
 [14.93345708 13.4504175  13.77653622 ... 11.50477312 12.66877685
  11.59140469]
 [14.52910125 14.4066508  19.96991086 ... 13.9066698  13.3002274
  13.55985388]
 [21.25504632 43.30389506 46.62393798 ... 37.22041742 35.16267605
  20.89521178]]",129.19921875,1
7,"[-2.50132904e+02  8.47874908e+01  5.17359447e+00  3.07299271e+01
  8.41113663e+00  1.46574802e+01  1.60266399e+00  1.06741905e+01
 -3.08028507e+00  6.30768776e+00  1.84100282e+00  5.69278526e+00
  2.10432753e-01  2.04930234e+00 -1.17378756e-01  6.40224314e+00
 -1.14099932e+00  2.52968049e+00 -2.83048809e-01  3.44499469e+00]","[0.45785958 0.4197812  0.55967987 0.51154995 0.56889415 0.47142923
 0.4488385  0.5153437  0.44723028 0.45591816 0.44193098 0.52979213]","[21.77520946 13.93449867 17.60194953 18.15523049 19.64314109 20.49134024
 48.27242416]","[[-602.9456 -602.9456 -602.9456 ... -602.9456 -602.9456 -602.9456]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 ...
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]]","[[0.79512775 0.92873603 0.85618186 ... 0.3393525  0.7437865  0.740492  ]
 [0.76231664 0.9669537  1.         ... 0.4403246  0.92310095 0.951074  ]
 [0.7713856  0.9054934  0.9294695  ... 0.53886443 1.         1.        ]
 ...
 [0.435054   0.41117567 0.34269    ... 0.3072833  0.28555015 0.40453827]
 [0.47122255 0.4501178  0.4434751  ... 0.28978997 0.32003087 0.40271285]
 [0.59855324 0.6509296  0.65602493 ... 0.37517518 0.5578143  0.61150825]]","[[15.85928961 25.0201099  26.87880247 ... 13.83497436 27.3552517
  16.53096391]
 [ 7.4624451  13.08561006 11.72545596 ...  9.42172094 10.31224005
   3.98249606]
 [10.6782955  16.38534408 23.23517167 ... 15.71796774  9.6528889
   7.70699286]
 ...
 [14.54964755 11.94932159 12.52158893 ... 17.93970312 12.80773404
  11.56618308]
 [13.74436786 15.68263548 14.05495459 ... 18.11043264 13.62047595
  15.60478949]
 [16.94791286 20.77833932 42.90815356 ... 42.98434899 22.60193192
  18.30601962]]",129.19921875,1
8,"[-36.35791     71.35647     -9.5206585   25.566427     0.95719725
  13.380928     2.2437623   10.4279175    0.81420296   7.7123237
  -1.0407827    5.2776566   -0.72046065   4.514975    -2.5169501
   0.943983    -0.92722434   2.1943574   -2.7629695    1.8257079 ]","[0.42778563 0.51879805 0.45787102 0.4933362  0.41852072 0.4303743
 0.46912593 0.40911588 0.4642522  0.43118438 0.4975702  0.42387167]","[18.15023837 14.12111541 17.09351176 18.75384345 19.67593574 20.44326172
 48.33613   ]","[[-471.5468 -471.5468 -471.5468 ... -471.5468 -471.5468 -471.5468]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 ...
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]]","[[0.7861147  0.9276647  0.8595603  ... 0.7174265  0.8642222  0.9013861 ]
 [0.75125325 0.95604604 1.         ... 1.         0.8072271  0.6927054 ]
 [0.7615684  0.896458   0.9208677  ... 0.8324943  0.9989749  1.        ]
 ...
 [0.42772144 0.40445855 0.34559056 ... 0.26973936 0.34439987 0.39283085]
 [0.46629766 0.44926116 0.44627628 ... 0.26142845 0.36841655 0.47116256]
 [0.5968597  0.6531918  0.6568065  ... 0.4923713  0.5265231  0.65120876]]","[[15.85928961 25.02090681 25.56782935 ... 24.85298767 21.43451375
  14.27408437]
 [ 7.4624451  13.08182768  8.35384255 ... 12.50454421 10.8260293
   7.48260549]
 [10.67829595 16.39163479 14.17373591 ... 12.57557004 13.68146164
   7.35153878]
 ...
 [14.54964837 11.94934649 12.86352066 ... 13.90656638 13.69472317
  13.1528314 ]
 [13.74436786 15.68278295 16.53147963 ... 14.56003841 12.79459789
  11.63672973]
 [16.94791257 20.77810625 35.65491777 ... 36.27125709 29.23082293
  25.72087469]]",103.359375,1
9,"[-46.97397    104.88258    -15.988236    11.102396    -4.8169975
   5.3674226   -3.3469386    6.867432    -3.2126086    3.5642288
  -5.344929     1.1223668   -0.8607144    2.4324057   -3.5110831
   0.72731423  -4.736809     0.414413    -6.8415422    0.64380944]","[0.7337037  0.4173701  0.35285053 0.35859096 0.35590732 0.29169363
 0.31682947 0.5237866  0.35664055 0.3463589  0.3575233  0.45066902]","[18.34957891 14.41361183 16.93036555 17.84476995 18.76458713 19.64153165
 49.11074458]","[[-532.2956    -532.2956    -532.2956    ... -301.30582   -327.9041
  -457.77222  ]
 [   0.           0.           0.        ...  134.79431    128.92538
    83.752556 ]
 [   0.           0.           0.        ...   40.819794    32.96612
    43.81922  ]
 ...
 [   0.           0.           0.        ...    5.680679     6.2264338
    -3.4402366]
 [   0.           0.           0.        ...    0.7317649   -0.5655022
    -1.1382735]
 [   0.           0.           0.        ...    4.7189436    4.7532988
     2.0426745]]","[[0.7857696  0.9018878  1.         ... 0.53659    0.94605297 0.84362084]
 [0.7519096  0.8636065  0.92476624 ... 0.6960998  1.         1.        ]
 [0.78939337 0.9805839  0.8423909  ... 1.         0.99093854 0.8796676 ]
 ...
 [0.44241777 0.40082037 0.25264317 ... 0.92588806 0.8500536  0.70681244]
 [0.4797588  0.42671287 0.27740756 ... 0.7664142  0.9639432  0.6789011 ]
 [0.5997341  0.706404   0.7107385  ... 0.7221241  0.97803193 0.69580156]]","[[15.71924457 23.97806483 33.31847866 ... 14.55016136  7.5731529
   2.67675808]
 [ 7.27402835 15.04483639 11.63831749 ... 12.83085859 10.66696151
  10.88816983]
 [12.52955904 11.97234103 12.057065   ... 11.82068612  7.34605174
  10.13528152]
 ...
 [13.30110857 11.5682148  13.57756901 ... 13.64172889  8.99952123
   7.12543849]
 [12.79722444 13.89538072 12.48449675 ... 13.94834377 11.42500905
   7.76848219]
 [16.4456754  20.43327472 38.47540186 ... 46.29681249 22.32345672
  12.14111379]]",135.99917763157896,1
