,mfcc_mean,chroma_mean,spectral_contrast_mean,mfcc,chroma,spectral_contrast,tempo,label
0,"[-132.26051     104.55246      -7.5286646    15.486186      9.974915
    7.1460342     9.974261      3.5956933     3.7843988     4.0539517
   -8.903006      2.8243518    -1.7892438     7.7621245     0.6905592
    5.621522      0.57219607    2.2044194    -0.5301535     0.87517756]","[0.48135942 0.42474815 0.42370728 0.4944376  0.34936443 0.37235773
 0.27884752 0.4182792  0.62715    0.39614105 0.46849406 0.4076277 ]","[20.21693091 14.8944297  19.65779051 21.26470302 23.66893788 26.41193805
 45.10904848]","[[-501.43323 -501.43323 -501.43323 ... -501.43323 -501.43323 -501.43323]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 ...
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]]","[[0.79212284 0.92841554 0.85435796 ... 0.8542777  0.8956196  0.9205751 ]
 [0.75858325 0.9633019  1.         ... 1.         0.9461216  0.8157186 ]
 [0.76805073 0.90245456 0.93157923 ... 0.9316984  1.         1.        ]
 ...
 [0.43260515 0.40890983 0.3419293  ... 0.34161177 0.35206372 0.37338746]
 [0.46958816 0.4498341  0.44297028 ... 0.44292384 0.42341596 0.5116986 ]
 [0.5979317  0.65167665 0.65394396 ... 0.65407205 0.67170715 0.70898384]]","[[15.85928961 25.02011272 27.54972855 ... 28.03817772 18.84961652
  13.90207498]
 [ 7.4624451  13.08561006 12.95696569 ... 14.48000058  9.10103315
   7.27753008]
 [10.6782955  16.38535285 15.85876973 ... 16.21792165 14.79084467
  14.53672067]
 ...
 [14.54964755 11.94932484 14.24598854 ... 15.01920987 16.20769796
  11.25884867]
 [13.74436734 15.6826351  14.813587   ... 14.4734545  13.64315705
  12.60622307]
 [16.94791286 20.77833792 35.35424473 ... 35.35415866 21.38771505
  17.25113353]]",135.99917763157896,0
1,"[-43.435425   79.55354    -7.576353   21.258936    8.734181    2.4873505
   8.407777   -1.7761521   2.5237913   5.012611   -7.084769    5.7032304
  -8.025047    4.703797   -2.8617613  -0.596555    2.2812364   2.3509328
  -1.4020514   3.2372344]","[0.29079345 0.39827204 0.28352234 0.38151962 0.26444578 0.3329035
 0.42705154 0.33086225 0.48212567 0.33424267 0.41588557 0.31355172]","[19.49986891 15.96323302 20.43561423 21.02811419 24.01328728 26.7192835
 46.42032671]","[[-467.3458 -467.3458 -467.3458 ... -467.3458 -467.3458 -467.3458]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 ...
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]]","[[0.80988646 0.9296025  0.84540105 ... 0.9629819  1.         0.9613583 ]
 [0.78134674 0.98508537 1.         ... 0.7851816  0.7967052  0.8004638 ]
 [0.78860766 0.92078316 0.9439054  ... 0.86590725 0.886219   1.        ]
 ...
 [0.44726267 0.42282307 0.3423689  ... 0.22777827 0.2308544  0.35252878]
 [0.4789891  0.4513303  0.43381113 ... 0.31043816 0.328047   0.4947948 ]
 [0.6022839  0.64714056 0.64245987 ... 1.         0.9075882  0.74015623]]","[[15.85928961 25.02011272 27.54972855 ... 27.47371017 23.07081509
  14.12617995]
 [ 7.4624451  13.08561006 12.95696569 ... 11.91995491  6.65005733
   9.72042388]
 [10.6782955  16.38535285 15.85876973 ...  8.78209521 15.1204256
  11.97384938]
 ...
 [14.54964755 11.94932484 14.24598854 ... 15.83606761 13.12205434
  13.05742029]
 [13.74436734 15.6826351  14.813587   ... 12.2914717  10.42961665
  13.19230736]
 [16.94791286 20.77833792 37.37271568 ... 38.48333849 21.77606786
  16.72903796]]",95.703125,0
2,"[-128.67526     112.95766       9.539219     16.007404      5.341973
    1.9939241    -6.1959248     5.608518     -8.955021      9.69759
   -1.4513929     2.695722     -0.16461535    2.5662572     0.5956365
    0.7261945    -2.2437577     0.4116492    -6.3441195    -0.8034685 ]","[0.38843343 0.3571471  0.3096268  0.38962644 0.34742102 0.4650152
 0.36008963 0.35235745 0.35618478 0.3245154  0.5146202  0.36472324]","[22.93447319 16.41900403 20.30933362 20.58326225 25.31741536 28.25743298
 48.77576961]","[[-477.1797 -477.1797 -477.1797 ... -477.1797 -477.1797 -477.1797]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 ...
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]]","[[0.8127433  0.9296042  0.84386194 ... 0.17723493 1.         1.        ]
 [0.7851753  0.9886267  1.         ... 0.21960235 0.78221995 0.82023007]
 [0.7920972  0.92380935 0.9460505  ... 0.26223361 0.82555836 0.8714761 ]
 ...
 [0.44968367 0.42520213 0.3424957  ... 0.2201765  0.33616    0.38715777]
 [0.48041457 0.45150283 0.43234456 ... 0.1645699  0.315361   0.34706026]
 [0.6031146  0.6463469  0.6405608  ... 0.16184139 0.709847   0.65523225]]","[[15.85928961 25.02011272 27.54972855 ... 16.61949901 17.28375043
  18.64926548]
 [ 7.4624451  13.08561006 12.95696569 ... 13.31873958  8.3177377
  11.05249344]
 [10.6782955  16.38535285 15.85876973 ... 12.00598272 16.27244992
  14.99958681]
 ...
 [14.54964755 11.94932484 14.24598854 ... 13.81206693 14.06840193
  14.94024342]
 [13.74436734 15.6826351  14.813587   ... 14.27884478 14.65184332
  15.88399807]
 [16.94791286 20.77833792 36.12968999 ... 37.27057341 28.39364929
  24.4871571 ]]",143.5546875,0
3,"[-115.96815      98.89437      13.133073     20.329426      4.289378
    5.712026     -2.6791077     5.372934     -0.2912698     5.4156027
   -1.682203      9.907002      1.0320655    -0.8825237     2.5370908
    5.636335     -6.9204836     5.746563     -2.7015033     0.58528304]","[0.4217721  0.3605249  0.35667515 0.36977568 0.47783732 0.41388556
 0.41807038 0.5081958  0.5551097  0.57701653 0.42812678 0.41137803]","[22.96452012 15.96784052 20.53443732 20.88949229 22.3986767  23.62986522
 47.70646584]","[[-467.8465 -467.8465 -467.8465 ... -467.8465 -467.8465 -467.8465]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 ...
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]]","[[0.7554331  0.92314154 0.86988413 ... 0.8697437  0.9170643  0.9169786 ]
 [0.716773   0.9206187  1.         ... 1.         0.9572053  0.8319433 ]
 [0.73344296 0.8681156  0.9054995  ... 0.905582   1.         1.        ]
 ...
 [0.40237257 0.38282254 0.342315   ... 0.34203175 0.35986546 0.38112262]
 [0.45023188 0.4477557  0.46286538 ... 0.46284357 0.45289913 0.5355286 ]
 [0.5966948  0.6637369  0.67736125 ... 0.67742914 0.70953584 0.74585956]]","[[15.85928961 25.02011272 27.54972855 ... 28.03816519 18.84961721
  13.90207577]
 [ 7.4624451  13.08561006 12.95696569 ... 14.4799761   9.10103656
   7.27753369]
 [10.6782955  16.38535285 15.85876973 ... 16.21790903 14.79085667
  14.53673425]
 ...
 [14.54964755 11.94932484 14.24598854 ... 15.01920987 16.2076702
  11.25884265]
 [13.74436734 15.6826351  14.813587   ... 14.47345666 13.64315736
  12.60622109]
 [16.94791286 20.77833792 34.75847128 ... 34.75838521 21.38772605
  17.25114566]]",117.45383522727273,0
4,"[-69.13852    97.87419    -1.8682218  17.229456    4.770079    6.3461266
  -1.3593698  -2.0941665  -5.130334    5.0473876  -4.4388256   4.4560857
  -3.7774582   3.1725278  -1.1339015   0.5357528  -3.7603934   1.1957862
  -3.4301183   0.2894331]","[0.42472386 0.33376426 0.5093525  0.35877508 0.3142907  0.376928
 0.34036735 0.49010995 0.32371607 0.3833484  0.47375888 0.3483938 ]","[21.46397025 16.51882723 20.04565914 20.42290446 23.29340842 25.06785573
 47.92209842]","[[-463.886 -463.886 -463.886 ... -463.886 -463.886 -463.886]
 [   0.       0.       0.    ...    0.       0.       0.   ]
 [   0.       0.       0.    ...    0.       0.       0.   ]
 ...
 [   0.       0.       0.    ...    0.       0.       0.   ]
 [   0.       0.       0.    ...    0.       0.       0.   ]
 [   0.       0.       0.    ...    0.       0.       0.   ]]","[[0.79512775 0.928737   0.8578441  ... 0.85284    0.8940242  0.92109543]
 [0.76231664 0.9669565  1.         ... 1.         0.94584346 0.81534135]
 [0.7713856  0.9054946  0.9314012  ... 0.93370533 1.         1.        ]
 ...
 [0.435054   0.41117495 0.3424865  ... 0.3416491  0.35163084 0.37310556]
 [0.47122255 0.45011806 0.43983102 ... 0.44136298 0.42146963 0.51022494]
 [0.59855324 0.6509309  0.64741313 ... 0.6521634  0.66897064 0.7067143 ]]","[[15.85928961 25.02125507 26.29473796 ... 28.03815825 18.84961726
  13.90207577]
 [ 7.4624451  13.06849717 15.26006306 ... 14.48002901  9.10102925
   7.27752601]
 [10.67829595 16.41177086 20.52890971 ... 16.21790249 14.79085998
  14.53670925]
 ...
 [14.54964755 11.94860717 13.61584502 ... 15.0192056  16.20767541
  11.25884316]
 [13.74436786 15.67184019 13.58741763 ... 14.47344583 13.64314871
  12.6062172 ]
 [16.94791286 20.7783932  33.30441524 ... 33.28660061 21.38769526
  17.25111903]]",117.45383522727273,0
5,"[-1.3908701e+02  7.1099396e+01  1.0347362e+01  2.2276373e+01
  9.4895229e+00  8.1306231e-01 -2.6870112e+00  3.8545392e-02
 -4.1836791e+00  3.8576057e+00 -8.0706257e-01  3.5980873e+00
  3.7506430e+00  4.7310944e+00  1.1977065e+00  3.7597079e+00
  1.3255207e-01  2.8818197e+00  3.0767649e-01  3.6317804e+00]","[0.5502394  0.56881225 0.50314665 0.51555926 0.55025786 0.41836452
 0.41906214 0.3620238  0.45099384 0.4849309  0.49480364 0.65014464]","[22.64592313 16.42072203 19.35003405 17.90043803 19.63622815 20.51709437
 44.91277801]","[[-472.76764 -472.76764 -472.76764 ... -472.76764 -472.76764 -472.76764]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 ...
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]]","[[0.79512775 0.92873603 0.8555713  ... 0.9076522  0.91319907 0.86815804]
 [0.76231664 0.9669536  1.         ... 0.9144093  1.         1.        ]
 [0.7713856  0.9054934  0.93019223 ... 0.98856306 0.9275257  0.987484  ]
 ...
 [0.435054   0.41117567 0.34528366 ... 0.37670118 0.41694412 0.47300234]
 [0.47122255 0.4501178  0.44395548 ... 0.4600028  0.46281198 0.60596955]
 [0.59855324 0.6509296  0.6539416  ... 0.7275347  0.686674   0.71822864]]","[[15.85928961 25.02011096 26.42478668 ... 28.47158029 24.19356373
  18.42641178]
 [ 7.4624451  13.08560516 10.92345073 ...  6.8926119   9.13216957
   4.95792066]
 [10.6782955  16.38536204 15.93012495 ... 13.05539005 12.12204577
  12.78165024]
 ...
 [14.54964755 11.94932447 11.7936033  ... 14.67968507 11.17119123
  14.57984146]
 [13.74436786 15.68263397 15.03649427 ... 11.95542146 14.44755345
  15.0704748 ]
 [16.94791286 20.7783382  36.41312367 ... 36.01804838 22.47948129
  17.40305338]]",95.703125,0
6,"[-1131.3708     0.         0.         0.         0.         0.
     0.         0.         0.         0.         0.         0.
     0.         0.         0.         0.         0.         0.
     0.         0.    ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0.],"[[-1131.3708]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]]","[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]","[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]",117.45383522727273,0
7,"[-1131.3708     0.         0.         0.         0.         0.
     0.         0.         0.         0.         0.         0.
     0.         0.         0.         0.         0.         0.
     0.         0.    ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0.],"[[-1131.3708]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]
 [    0.    ]]","[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]","[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]",117.45383522727273,0
8,"[-113.895386    63.324814     2.129689     3.9999175    5.239542
    6.0194144  -11.350347     9.099666    -8.246335     6.419921
   -6.5252795    6.650258     4.6621876    1.2582129    2.7384732
    5.9124117   -2.0525618    6.6798506    0.9912787    3.269735 ]","[0.54454166 0.4773181  0.4608238  0.46202365 0.56863946 0.48701182
 0.447012   0.46210688 0.42312855 0.42718887 0.4363558  0.52120984]","[24.50630722 16.84874379 18.494248   19.16965608 20.54600552 22.01622306
 48.45849926]","[[-475.01114 -475.01114 -475.01114 ... -475.01114 -475.01114 -475.01114]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 ...
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]]","[[0.80187804 0.87513846 0.7732823  ... 0.8191662  0.8534546  0.94222313]
 [0.79789925 1.         1.         ... 1.         0.9529875  0.84887433]
 [0.7971366  0.93024874 0.9840919  ... 0.9924521  1.         1.        ]
 ...
 [0.4618933  0.45013168 0.3500239  ... 0.34751225 0.34973928 0.38264188]
 [0.46419916 0.43050075 0.41262236 ... 0.4112191  0.39164114 0.4878068 ]
 [0.5783972  0.5999789  0.62587816 ... 0.6100729  0.60896146 0.6759208 ]]","[[15.85928961 23.46371175 24.17782109 ... 28.03814348 18.84961721
  13.90207565]
 [ 7.4624451  14.23176555  5.76425647 ... 14.47999206  9.10103461
   7.27752601]
 [10.67829595 11.06658907 11.71021833 ... 16.21792462 14.79081768
  14.53674318]
 ...
 [14.54964755 11.19611087 13.86955472 ... 15.01920288 16.2076967
  11.25884357]
 [13.74436786 13.64967981 12.58718084 ... 14.47345356 13.64315135
  12.60621992]
 [16.94791286 20.7487514  36.42908117 ... 36.32126602 21.38772609
  17.25114458]]",143.5546875,0
9,"[-7.1540184e+01  6.5307144e+01  2.9564459e+00  1.7381714e+01
  1.1402754e+01  5.1459212e+00  1.9191872e+00  8.6681376e+00
 -7.3840171e-01  1.2237455e+01 -1.8065886e+00  8.5267811e+00
  2.3401945e+00  5.3331671e+00 -3.0516475e-02  7.1510220e-01
 -2.1289940e+00 -3.6867422e-01 -4.3116527e+00  1.7244475e+00]","[0.3922905  0.40952253 0.38589865 0.5097217  0.40236107 0.46878523
 0.40971005 0.40053758 0.40762913 0.4360796  0.5774027  0.40713426]","[22.7533792  15.37735594 19.10050823 18.37440529 19.47822644 22.13157235
 47.78463268]","[[-451.93338 -451.93338 -451.93338 ... -451.93338 -451.93338 -451.93338]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 ...
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]]","[[0.79212284 0.92841554 0.85435796 ... 0.90680856 0.91594744 0.86906344]
 [0.75858325 0.9633019  1.         ... 0.9139279  1.         1.        ]
 [0.76805073 0.90245456 0.93157923 ... 0.98726076 0.9272522  0.9846725 ]
 ...
 [0.43260515 0.40890983 0.3419293  ... 0.3757957  0.41580278 0.47204426]
 [0.46958816 0.4498341  0.44297028 ... 0.46117818 0.46426395 0.6065928 ]
 [0.5979317  0.65167665 0.65394396 ... 0.72969145 0.6893964  0.7179896 ]]","[[15.85928961 25.02011272 27.54972855 ... 28.47159157 24.19356286
  18.42641258]
 [ 7.4624451  13.08561006 12.95696569 ...  6.89261725  9.13216002
   4.95791836]
 [10.6782955  16.38535285 15.85876973 ... 13.05538957 12.12205412
  12.78163278]
 ...
 [14.54964755 11.94932484 14.24598854 ... 14.67968678 11.17118636
  14.57984547]
 [13.74436734 15.6826351  14.813587   ... 11.95542521 14.44756451
  15.0704692 ]
 [16.94791286 20.77833792 37.42006898 ... 37.02336103 22.47946617
  17.4030402 ]]",129.19921875,0
